year,month,SF,Psaf,SPI3,SFp,Px,Px0,SFx0,Px1,SFx1,Px2,SFx2,Px3,SFx3,Px4,SFx4,Px5,SFx5,Px6,SFx6,Px7,SFx7,Px8,SFx8,Px9,SFx9,Px10,SFx10,Px11,SFx11,Px12,SFx12,Px13,SFx13,Px14,SFx14,Px15,SFx15,Px16,SFx16,Px17,SFx17,Px18,SFx18,Px19,SFx19,Px20,SFx20,Px21,SFx21,Px22,SFx22,Px23,SFx23,Px24,SFx24,SFx
1984,10,408.65472,441.428373317,-1.4090178011761254,399.56374918147117,422.0426916147658,379.3519723275503,325.05115585416047,403.91123115575533,321.4914788094557,423.31260347213566,453.350884201708,464.06633141485827,401.30601608776976,368.4671935006431,299.3387164802096,506.6797214255244,526.3417426503817,296.47550466242797,253.84838989194813,348.54485875950354,302.7377695853975,586.9307724730131,481.86087734995044,367.4734520796607,369.2286701067989,465.44696640450684,445.7944523872815,378.2706526332557,314.31544681852614,472.09312594958254,393.99706045554854,390.8763704952704,312.6463326656916,296.8191325949447,253.3934483297623,386.4920210935454,312.0473009561759,405.8983976065882,326.0490156607112,568.1818919600142,440.10572425093613,482.15244910390487,442.3028307181403,416.83274333868934,321.9770495625725,314.187083493877,262.1131633621833,413.74460416636936,329.4149166946647,345.2953886380304,275.55281481277956,721.4045361586045,654.671837527385,338.64117737331287,337.0161885136577,366.2381313493519
1984,11,445.658976,452.0883568302,0.29799474409411486,457.49667465468764,433.782276361934,438.4224213770992,409.16935704977084,406.1502929325186,451.5622231321616,459.36203584798545,440.0739079708831,338.6281386577573,377.31655271815595,399.8061140116281,364.7567635998635,495.56935839361745,448.32200265029974,407.29134145583924,360.16119443103645,470.71653073433663,551.3033773836255,321.31336918479417,314.98784803606674,370.6792449940438,331.9434778582201,515.4592860311141,494.7958086997996,411.2902972245017,399.767872025023,335.7857177794378,312.6840854828527,488.09140630017583,462.04973692126794,592.7630328572327,579.5697231174663,447.71143337228466,508.17912464993157,401.0787405993415,379.4642064089885,414.3157297024196,383.0312770999523,479.96651222724927,558.8796882623692,375.956812869251,369.65271249360825,403.60120013163976,379.70320479292644,559.413934945117,497.4342172100774,478.1700638597803,440.2864745916048,410.9851493081635,397.4315654186263,397.66070271650983,362.90313744239,423.0171815778787
1984,12,445.621824,331.3752879212,0.7595393832404487,425.0552582019989,383.50307240534465,269.67722854995407,365.4432408401836,310.34236484318023,425.0323376688405,335.8427179603002,435.15545466295544,494.92492352314457,590.8031605550184,454.5768569171026,539.0954573778517,288.7016130390902,390.4805888323283,522.9539959585194,578.7398387497316,181.29719570258672,312.40024642688036,329.0182197993386,411.64790802322386,308.5568896284795,421.55313368228684,543.4661718380713,619.3930837629603,339.47404414630137,444.16865104444884,420.09824147909603,481.0457901513551,363.7573794416417,461.42032127829066,339.9689302841088,489.40433254906856,406.9392654011382,507.30671800263246,481.7839902904211,591.8560933986912,447.10502885407266,556.5831085801576,521.9090329939123,710.8024893880589,382.18657964616494,490.62004783914347,373.05183053924253,471.16710030998837,364.3025885500221,448.91951425128394,325.62219775140215,414.2638458234527,332.4278110829585,455.21537802228596,434.4844927716212,520.4263005345622,485.3177656702273
1985,1,473.4936,372.96774801000004,1.2148800849348664,405.78754555798156,383.57776677776286,377.8767229630183,416.38209759110276,486.3466067853976,535.6127341249487,639.0168365601928,652.0585924700645,329.7335608593092,409.1592557209271,161.0089234587403,250.80853572530248,342.5031746688381,389.12615684845406,506.35063584771507,558.6766296948402,440.5897049259469,480.5651473233153,372.35081194934514,411.93830817782475,486.06786016480316,500.5464116210166,708.3491518753387,887.0773873457076,333.32139611872526,389.0750912848624,329.81116107250807,392.34733409166466,334.58807362739634,353.56291843172005,298.7704846397917,360.9364178764135,216.50726824628185,295.6507151318933,321.0551995143071,460.71992501287787,284.1702256256013,361.93076151868496,303.00805213702694,366.6819670967045,359.4985550127504,412.1184078313558,294.91431990646174,360.8197988310863,592.571028446787,606.9769099011071,516.6509254196067,656.0063558529595,271.0943006420725,365.4486309977095,280.2372644190834,392.13908606326953,450.6546230626325
1985,2,465.33744,322.572681173,0.28724013206381366,344.953950253604,406.4123231229253,340.8711850665163,362.78499413740803,424.22986591096253,405.3260421117573,357.38593148060744,384.1469797286031,441.11379495663004,417.68702624167605,347.66678928696706,395.30077744092375,357.7378169831722,377.74537979638654,359.5723345130728,377.8325292298542,453.5237519634826,426.56491884375123,473.00665704155654,470.06623865635027,400.7213683953465,418.46059083940105,464.9563885699136,608.0200608424097,463.50941370880986,479.07656507075285,359.4379625091529,396.05433279078375,471.8291776137729,469.7616745090828,534.4060597303182,519.0940294643923,334.2246120172372,347.101107698441,301.8471897154341,348.77070711854657,348.79288837004646,350.15165315480454,426.8628893715893,444.92158000399326,349.36981383552705,357.3648009254151,345.81232878620693,347.2504360065274,571.5596880308917,581.1222543425945,377.5760200074326,404.0520754653007,435.81637038417387,414.13653724143813,403.6427194754153,405.1585146165567,420.31807225108594
1985,3,439.216992,295.539888285,0.2680594310850071,359.333810649515,470.4816974534146,447.43988124174837,445.0938915483972,537.3074829063048,516.0364562106445,502.15227923852626,589.8553679478678,410.64067527749177,441.49356850614913,308.147273140558,347.21521401969005,499.15143639197936,583.7621262603234,422.8933121628442,464.8065213368323,555.9979004831042,587.6851794811007,402.3351332130762,406.87764606476685,470.9448477237944,538.7769776464194,529.6220067010689,498.10708860156467,447.679834873457,431.95293847365684,387.8042418111829,408.44474301201774,476.699650679454,475.4777033141637,385.30922231074527,415.0721534681768,482.96980562283613,481.3796653958669,465.78572159869714,471.0598736739292,490.501136846805,533.6214345529862,577.0483786881415,572.0645360757471,416.79555259719325,387.66572275963364,481.80560848275303,501.7817013397639,483.945352293108,475.21095039276184,551.4000948169655,674.1810818054784,566.425172130003,566.1502059461598,461.24043510352675,459.808008015268,490.9432302339746
1985,4,414.194688,276.48384181,-0.16265519343741663,290.2138343784548,409.381226002327,314.4455111454755,319.03713151648253,278.5980533833336,278.36027268493336,491.5137703620245,437.25814512757495,539.6163439752308,491.8183452380458,434.43315943900575,382.54613854570187,420.54129928138656,362.58867778804796,534.6885136650726,491.67660223549746,426.59023485113835,378.5752824727108,380.2650030254074,328.40222577444524,461.7161618875683,417.0109403443592,419.04913864671477,344.1964739408642,479.15773330929346,449.6430247937375,376.87654828620947,388.57622506307325,338.9693675386177,307.4126677728247,402.4101449522658,395.9193037406888,375.3261319154996,392.81340173654604,301.81493767757445,286.3286645768787,286.66348678047825,282.1810389440538,402.83522679961345,385.55461747198916,333.3066512248971,286.8816799552278,473.40133501495035,404.08414370267633,473.0099879345549,403.5603533274633,340.99579281432364,300.896675363751,454.5331960640729,392.691309587009,493.77292008346717,418.4484897624315,373.0584732586806
1985,5,337.25808,196.59096092900003,-0.5860114403580003,249.24886378213293,289.2745827999602,372.35835110860916,339.6035653065613,368.84791255999033,372.73252917197,400.1202091535867,366.99511470970685,284.81246523001334,287.6234303857324,209.51317706844867,237.61812946435168,312.1413947789191,306.8326178006134,233.36042131558037,278.2578090525609,307.7473779964505,310.5161034010204,225.36680961957205,263.2066348360144,357.30844338278825,364.1107685479852,230.73521005252002,259.9455242401883,206.32234330421045,266.00157150718815,243.0568304408781,274.3932162149466,314.8323711649013,324.5634582178899,263.3868636594044,282.60586647039764,255.1683808965882,288.2660142666842,253.70308459200334,276.95193468093026,370.29322314159646,372.183764574844,253.6300595792846,276.875832261711,307.3891205203465,313.2236883725877,277.5172269262809,302.4609597389315,364.7537771967287,370.1204979378978,323.0777713027001,293.4337198284922,309.98640273559704,283.1754619046823,186.43534227200618,236.5363300835821,301.9293817190988
1985,6,255.943584,139.98891297900002,-0.38867164163042955,162.46242167939099,228.49920496404826,191.99180559628502,166.02048472872085,230.33675903718648,201.41994479008926,309.9135647810295,250.55113935403995,147.39044461698518,153.29720879931966,161.0782497546659,166.06108114515501,217.9974391814565,182.50966808158103,174.31378528149577,177.29827594794884,241.9415730879541,187.50174546564548,260.5060337416397,211.25946273386614,255.20642212895086,191.91851897159012,194.45717360737257,166.63221372089396,245.0525876463856,206.7818393425633,203.69021033572423,204.39484365872426,225.50509871299937,187.37352064563675,145.15073294470645,145.3987399810299,229.55987490763658,206.70673293864328,331.4362641077002,247.36475406504215,271.52703081669165,228.4111947595681,162.63481073322026,161.62176144067192,234.73103815428993,215.4354656668456,231.46494216374572,185.61390557789434,237.27751841594176,196.22827649876848,265.0490950544471,219.1505402361417,219.87705832788345,179.30282365664704,324.3906109648121,248.2745142717123,195.46114625914961
1985,7,137.43475200000003,95.04667606400001,-0.06279687119765458,114.0993515634186,197.48133212296642,178.4441594145419,160.23660381110997,146.83719891103232,127.40277276630964,152.95209335460822,128.6872490988771,173.77715603179388,138.1508842181695,212.06384258198426,172.9589252304832,206.994356880978,159.92263830881456,212.5464085132622,156.92827688250077,157.09729956616965,146.7468398449589,179.23762173538682,137.43773721930205,242.57758362514738,175.9530424874412,174.8218337400741,145.08481546982645,168.65769064199924,145.89263372596054,384.08910022356497,367.3111312937908,120.02172552795705,109.84219478629853,156.24209308580345,124.53053623291417,235.60851128068597,168.73419355606464,247.21447052725367,204.6067964578858,209.51105948410537,147.65011663492464,269.57099990070003,205.90728234726268,162.28061193296742,139.17198214121652,235.56965752257096,180.47198878976712,170.14030727987998,166.38265710944214,159.05855635218268,147.10741055147483,170.87601721302508,163.64721644847094,208.0235322837349,150.38406659864626,162.84599968047655
